variable_id,tier,analysis_rule,analysis_level,data_type,allowed_values,critical,reliability_method,jointly_applicable_pairs,rc5_target_status
eligibility_confirmed,existing_handling,retain_existing_contract,paper,nominal,Y|N,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
study_family_id,existing_handling,retain_existing_contract,paper,text,free_text,N,exact_match,,not_in_rc5_target_set
publication_year,existing_handling,retain_existing_contract,paper,integer,2022:2100,N,ICC_A1,,not_in_rc5_target_set
country,existing_handling,retain_existing_contract,paper,text,ISO_or_reported,N,exact_match,,not_in_rc5_target_set
task_type,existing_handling,retain_existing_contract,paper,nominal,documentation_handover|care_plan_diagnosis|decision_triage|patient_education_QA|nursing_exam|education_simulation|other,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
setting_type,existing_handling,retain_existing_contract,paper,nominal,live_workflow|real_data_offline|simulation_synthetic|education_exam|mixed,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
study_design,existing_handling,retain_existing_contract,paper,nominal,cross_sectional_benchmark|development_validation|randomized_trial|nonrandomized_trial|implementation|mixed_methods|other,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
direct_output_evaluation,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
model_developer_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
model_name_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
model_exact_version_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
model_version_text,existing_handling,retain_existing_contract,paper,text,free_text,N,exact_match,,not_in_rc5_target_set
model_access_date_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
model_openness,existing_handling,retain_existing_contract,model,nominal,open_weights|closed_proprietary|mixed|unclear,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
system_prompt_reported,conditional_prevalence_limited,conditional_subset_or_prevalence_limited,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,4,revise
full_user_prompt_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
prompt_examples_only,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
temperature_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
top_p_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
max_tokens_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
random_seed_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
run_count_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
repeated_runs_per_input,exploratory_two_stage,applicability_then_exploratory_reporting,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,10,revise
output_variability_assessed,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
model_drift_addressed,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
reference_standard_used,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
reference_standard_source_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
reference_standard_method,rc5_pass_quantitative,stable_quantitative_with_applicable_denominator,paper,nominal,answer_key|guideline|expert_consensus|human_output|dataset_label|mixed|other|NA,N,Cohen_kappa_and_AC1,9,pass
expert_number_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
expert_qualification_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
reference_standard_formation_reported,exploratory_two_stage,applicability_then_exploratory_reporting,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,9,revise
human_review_used,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR,Y,Cohen_kappa_and_AC1,,not_in_rc5_target_set
reviewers_independent,rc5_pass_quantitative,stable_quantitative_with_applicable_denominator,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,7,pass
reviewers_blinded,conditional_prevalence_limited,conditional_subset_or_prevalence_limited,paper,nominal,Y|N|NR|NA,Y,Cohen_kappa_and_AC1,4,revise
reviewer_training_reported,existing_handling,retain_existing_contract,paper,nominal,Y|N|NR|NA,N,Cohen_kappa_and_AC1,,not_in_rc5_target_set
